date,Activity Name,dist_km,duration_min
2025-07-28 17:54:46,Evening Ride,0.1,2.2
2025-08-09 19:04:29,Evening Ride,12.3,26.9
2025-08-11 19:23:39,Night Ride,24.4,63.5
2025-08-14 19:11:32,Evening Ride,9.2,20.9
2025-08-15 05:27:19,Morning Ride,31.9,81.5
2025-08-24 06:16:50,Morning ride,45.2,118.7
2025-08-31 05:42:27,Lunch Ride,55.5,211.1
2025-09-06 06:40:16,Morning Ride,45.4,135.4
2025-09-14 05:37:24,Long bike,85.3,243.8
