Name,Division,segment,order,speed_kmh
Ayoub Elhamji,M35-39,T1,1,1.0
Ayoub Elhamji,M35-39,Bike,2,31.6
Ayoub Elhamji,M35-39,T2,3,1.0
Ayoub Elhamji,M35-39,Run,4,10.3
Lamyaa Cherkab,F45-49,Swim,0,3.1
Lamyaa Cherkab,F45-49,T1,1,1.0
Lamyaa Cherkab,F45-49,Bike,2,29.3
Lamyaa Cherkab,F45-49,T2,3,1.0
Lamyaa Cherkab,F45-49,Run,4,10.6
Abdeslam Afailal,M50-54,Swim,0,3.1
Abdeslam Afailal,M50-54,T1,1,1.0
Abdeslam Afailal,M50-54,Bike,2,27.1
Abdeslam Afailal,M50-54,T2,3,1.0
Abdeslam Afailal,M50-54,Run,4,11.4
Yahya Boulben El Fallah,M35-39,Swim,0,3.2
Yahya Boulben El Fallah,M35-39,T1,1,1.0
Yahya Boulben El Fallah,M35-39,Bike,2,30.7
Yahya Boulben El Fallah,M35-39,T2,3,1.0
Yahya Boulben El Fallah,M35-39,Run,4,11.0
Chakib Taha,M55-59,Swim,0,2.5
Chakib Taha,M55-59,T1,1,1.0
Chakib Taha,M55-59,Bike,2,28.2
Chakib Taha,M55-59,T2,3,1.0
Chakib Taha,M55-59,Run,4,10.1
Marine De Michelena,F50-54,Swim,0,3.3
Marine De Michelena,F50-54,T1,1,1.0
Marine De Michelena,F50-54,Bike,2,29.2
Marine De Michelena,F50-54,T2,3,1.0
Marine De Michelena,F50-54,Run,4,10.0
Abdelkader Boulouad,M30-34,Swim,0,3.3
Abdelkader Boulouad,M30-34,T1,1,1.0
Abdelkader Boulouad,M30-34,Bike,2,30.3
Abdelkader Boulouad,M30-34,T2,3,1.0
Abdelkader Boulouad,M30-34,Run,4,11.4
Farouk Abou Rahal,M50-54,Swim,0,2.7
Farouk Abou Rahal,M50-54,T1,1,1.0
Farouk Abou Rahal,M50-54,Bike,2,30.8
Farouk Abou Rahal,M50-54,T2,3,1.0
Farouk Abou Rahal,M50-54,Run,4,9.5
Adil Haida,M50-54,Swim,0,2.7
Adil Haida,M50-54,T1,1,1.0
Adil Haida,M50-54,Bike,2,28.0
Adil Haida,M50-54,T2,3,1.0
Adil Haida,M50-54,Run,4,10.8
Driss Benkirane,M60-64,Swim,0,2.5
Driss Benkirane,M60-64,T1,1,1.0
Driss Benkirane,M60-64,Bike,2,26.9
Driss Benkirane,M60-64,T2,3,1.0
Driss Benkirane,M60-64,Run,4,9.5
Mark Meehan,M40-44,Swim,0,2.7
Mark Meehan,M40-44,T1,1,1.0
Mark Meehan,M40-44,Bike,2,32.0
Mark Meehan,M40-44,T2,3,1.0
Mark Meehan,M40-44,Run,4,9.9
Tahiri Nizar,M45-49,Swim,0,2.9
Tahiri Nizar,M45-49,T1,1,1.0
Tahiri Nizar,M45-49,Bike,2,30.2
Tahiri Nizar,M45-49,T2,3,1.0
Tahiri Nizar,M45-49,Run,4,9.7
Diaa Alhak EL FALLOUS,M45-49,Swim,0,2.7
Diaa Alhak EL FALLOUS,M45-49,T1,1,1.0
Diaa Alhak EL FALLOUS,M45-49,Bike,2,28.3
Diaa Alhak EL FALLOUS,M45-49,T2,3,1.0
Diaa Alhak EL FALLOUS,M45-49,Run,4,10.9
Hatim KAMEL,M35-39,Swim,0,2.5
Hatim KAMEL,M35-39,T1,1,1.0
Hatim KAMEL,M35-39,Bike,2,31.7
Hatim KAMEL,M35-39,T2,3,1.0
Hatim KAMEL,M35-39,Run,4,11.6
Youssef Oujaa,M30-34,Swim,0,3.0
Youssef Oujaa,M30-34,T1,1,1.0
Youssef Oujaa,M30-34,Bike,2,33.1
Youssef Oujaa,M30-34,T2,3,1.0
Youssef Oujaa,M30-34,Run,4,10.0
Wahb Atik,M45-49,Swim,0,2.7
Wahb Atik,M45-49,T1,1,1.0
Wahb Atik,M45-49,Bike,2,30.5
Wahb Atik,M45-49,T2,3,1.0
Wahb Atik,M45-49,Run,4,9.7
Pablo Serratosa Morón,M25-29,Swim,0,3.6
Pablo Serratosa Morón,M25-29,T1,1,1.0
Pablo Serratosa Morón,M25-29,Bike,2,31.1
Pablo Serratosa Morón,M25-29,T2,3,1.0
Pablo Serratosa Morón,M25-29,Run,4,11.2
Remy Fragniere,M25-29,Swim,0,3.9
Remy Fragniere,M25-29,T1,1,1.0
Remy Fragniere,M25-29,Bike,2,32.6
Remy Fragniere,M25-29,T2,3,1.0
Remy Fragniere,M25-29,Run,4,10.3
Anass Boudarka,M25-29,Swim,0,2.8
Anass Boudarka,M25-29,T1,1,1.0
Anass Boudarka,M25-29,Bike,2,32.4
Anass Boudarka,M25-29,T2,3,1.0
Anass Boudarka,M25-29,Run,4,11.8
rachid baali,M50-54,Swim,0,4.0
rachid baali,M50-54,T1,1,1.0
rachid baali,M50-54,Bike,2,28.9
rachid baali,M50-54,T2,3,1.0
rachid baali,M50-54,Run,4,8.9
Hamza SELLAK,M40-44,Swim,0,2.5
Hamza SELLAK,M40-44,T1,1,1.0
Hamza SELLAK,M40-44,Bike,2,30.8
Hamza SELLAK,M40-44,T2,3,1.0
Hamza SELLAK,M40-44,Run,4,10.8
MAELLE PENNEC,F35-39,Swim,0,3.3
MAELLE PENNEC,F35-39,T1,1,1.0
MAELLE PENNEC,F35-39,Bike,2,30.5
MAELLE PENNEC,F35-39,T2,3,1.0
MAELLE PENNEC,F35-39,Run,4,10.7
Theo Meslin,M25-29,Swim,0,3.4
Theo Meslin,M25-29,T1,1,1.0
Theo Meslin,M25-29,Bike,2,31.3
Theo Meslin,M25-29,T2,3,1.0
Theo Meslin,M25-29,Run,4,11.0
Walid AMHARE,M25-29,Swim,0,2.6
Walid AMHARE,M25-29,T1,1,1.0
Walid AMHARE,M25-29,Bike,2,31.7
Walid AMHARE,M25-29,T2,3,1.0
Walid AMHARE,M25-29,Run,4,11.8
Dixon Rowan,M25-29,Swim,0,3.2
Dixon Rowan,M25-29,T1,1,1.0
Dixon Rowan,M25-29,Bike,2,31.5
Dixon Rowan,M25-29,T2,3,1.0
Dixon Rowan,M25-29,Run,4,11.1
Salaheddine El khou,M30-34,Swim,0,2.8
Salaheddine El khou,M30-34,T1,1,1.0
Salaheddine El khou,M30-34,Bike,2,30.2
Salaheddine El khou,M30-34,T2,3,1.0
Salaheddine El khou,M30-34,Run,4,11.8
Ian Osborne,M55-59,Swim,0,3.6
Ian Osborne,M55-59,T1,1,1.0
Ian Osborne,M55-59,Bike,2,29.5
Ian Osborne,M55-59,T2,3,1.0
Ian Osborne,M55-59,Run,4,8.0
Sergio Marta,M50-54,Swim,0,3.6
Sergio Marta,M50-54,T1,1,1.0
Sergio Marta,M50-54,Bike,2,31.2
Sergio Marta,M50-54,T2,3,1.0
Sergio Marta,M50-54,Run,4,8.1
Nacho Galán Moreno,M45-49,Swim,0,3.5
Nacho Galán Moreno,M45-49,T1,1,1.0
Nacho Galán Moreno,M45-49,Bike,2,29.4
Nacho Galán Moreno,M45-49,T2,3,1.0
Nacho Galán Moreno,M45-49,Run,4,9.0
Mario Ruiz Botero,M18-24,Swim,0,3.1
Mario Ruiz Botero,M18-24,T1,1,1.0
Mario Ruiz Botero,M18-24,Bike,2,32.3
Mario Ruiz Botero,M18-24,T2,3,1.0
Mario Ruiz Botero,M18-24,Run,4,10.8
Ali Timhadjelt,M35-39,Swim,0,2.7
Ali Timhadjelt,M35-39,T1,1,1.0
Ali Timhadjelt,M35-39,Bike,2,30.3
Ali Timhadjelt,M35-39,T2,3,1.0
Ali Timhadjelt,M35-39,Run,4,11.2
OMAR LAHBABI,M40-44,Swim,0,2.7
OMAR LAHBABI,M40-44,T1,1,1.0
OMAR LAHBABI,M40-44,Bike,2,29.8
OMAR LAHBABI,M40-44,T2,3,1.0
OMAR LAHBABI,M40-44,Run,4,10.4
Justin Hamill,M30-34,Swim,0,2.9
Justin Hamill,M30-34,T1,1,1.0
Justin Hamill,M30-34,Bike,2,30.2
Justin Hamill,M30-34,T2,3,1.0
Justin Hamill,M30-34,Run,4,11.3
Steve Gale,M65-69,Swim,0,2.3
Steve Gale,M65-69,T1,1,1.0
Steve Gale,M65-69,Bike,2,26.0
Steve Gale,M65-69,T2,3,1.0
Steve Gale,M65-69,Run,4,8.2
Mounir El Adib,M40-44,Swim,0,3.2
Mounir El Adib,M40-44,T1,1,1.0
Mounir El Adib,M40-44,Bike,2,30.7
Mounir El Adib,M40-44,T2,3,1.0
Mounir El Adib,M40-44,Run,4,9.3
Soufiane Bazouz,M45-49,Swim,0,2.5
Soufiane Bazouz,M45-49,T1,1,1.0
Soufiane Bazouz,M45-49,Bike,2,28.2
Soufiane Bazouz,M45-49,T2,3,1.0
Soufiane Bazouz,M45-49,Run,4,10.6
Piotr Blysz,M18-24,Swim,0,3.9
Piotr Blysz,M18-24,T1,1,1.0
Piotr Blysz,M18-24,Bike,2,31.9
Piotr Blysz,M18-24,T2,3,1.0
Piotr Blysz,M18-24,Run,4,10.1
Camelea Mghazli,F30-34,Swim,0,2.8
Camelea Mghazli,F30-34,T1,1,1.0
Camelea Mghazli,F30-34,Bike,2,30.3
Camelea Mghazli,F30-34,T2,3,1.0
Camelea Mghazli,F30-34,Run,4,11.9
BAUDOUIN BOULLIER,M40-44,Swim,0,2.9
BAUDOUIN BOULLIER,M40-44,T1,1,1.0
BAUDOUIN BOULLIER,M40-44,Bike,2,27.8
BAUDOUIN BOULLIER,M40-44,T2,3,1.0
BAUDOUIN BOULLIER,M40-44,Run,4,10.9
Guillaume Rousseau,M45-49,Swim,0,2.7
Guillaume Rousseau,M45-49,T1,1,1.0
Guillaume Rousseau,M45-49,Bike,2,31.2
Guillaume Rousseau,M45-49,T2,3,1.0
Guillaume Rousseau,M45-49,Run,4,8.8
Hicham Jaouad,M30-34,Swim,0,2.6
Hicham Jaouad,M30-34,T1,1,1.0
Hicham Jaouad,M30-34,Bike,2,30.6
Hicham Jaouad,M30-34,T2,3,1.0
Hicham Jaouad,M30-34,Run,4,11.2
JAD Cherqaoui,M18-24,Swim,0,3.4
JAD Cherqaoui,M18-24,T1,1,1.0
JAD Cherqaoui,M18-24,Bike,2,28.3
JAD Cherqaoui,M18-24,T2,3,1.0
JAD Cherqaoui,M18-24,Run,4,12.5
Mohamed HNANNOU,M35-39,Swim,0,2.4
Mohamed HNANNOU,M35-39,T1,1,1.0
Mohamed HNANNOU,M35-39,Bike,2,31.5
Mohamed HNANNOU,M35-39,T2,3,1.0
Mohamed HNANNOU,M35-39,Run,4,10.6
MOHAMMED AMINE KHALIDI,M35-39,Swim,0,2.8
MOHAMMED AMINE KHALIDI,M35-39,T1,1,1.0
MOHAMMED AMINE KHALIDI,M35-39,Bike,2,30.0
MOHAMMED AMINE KHALIDI,M35-39,T2,3,1.0
MOHAMMED AMINE KHALIDI,M35-39,Run,4,10.6
El mehdi Oubassan,M25-29,Swim,0,2.8
El mehdi Oubassan,M25-29,T1,1,1.0
El mehdi Oubassan,M25-29,Bike,2,33.1
El mehdi Oubassan,M25-29,T2,3,1.0
El mehdi Oubassan,M25-29,Run,4,10.3
Ahmed Chaouki Berrannoun,M45-49,Swim,0,3.8
Ahmed Chaouki Berrannoun,M45-49,T1,1,1.0
Ahmed Chaouki Berrannoun,M45-49,Bike,2,29.0
Ahmed Chaouki Berrannoun,M45-49,T2,3,1.0
Ahmed Chaouki Berrannoun,M45-49,Run,4,9.9
Alexandre Bernardo,M25-29,Swim,0,3.4
Alexandre Bernardo,M25-29,T1,1,1.0
Alexandre Bernardo,M25-29,Bike,2,30.5
Alexandre Bernardo,M25-29,T2,3,1.0
Alexandre Bernardo,M25-29,Run,4,10.6
Emilio Gimenez Serantes,M45-49,Swim,0,3.2
Emilio Gimenez Serantes,M45-49,T1,1,1.0
Emilio Gimenez Serantes,M45-49,Bike,2,31.1
Emilio Gimenez Serantes,M45-49,T2,3,1.0
Emilio Gimenez Serantes,M45-49,Run,4,8.5
HICHAM EL JAMALI,M45-49,Swim,0,3.2
HICHAM EL JAMALI,M45-49,T1,1,1.0
HICHAM EL JAMALI,M45-49,Bike,2,30.4
HICHAM EL JAMALI,M45-49,T2,3,1.0
HICHAM EL JAMALI,M45-49,Run,4,8.4
Aladin Karouati,M50-54,Swim,0,3.0
Aladin Karouati,M50-54,T1,1,1.0
Aladin Karouati,M50-54,Bike,2,28.9
Aladin Karouati,M50-54,T2,3,1.0
Aladin Karouati,M50-54,Run,4,9.0
REDA BENZAKOUR,M50-54,Swim,0,3.2
REDA BENZAKOUR,M50-54,T1,1,1.0
REDA BENZAKOUR,M50-54,Bike,2,27.9
REDA BENZAKOUR,M50-54,T2,3,1.0
REDA BENZAKOUR,M50-54,Run,4,9.3
Karim Mouathassime,M50-54,Swim,0,3.3
Karim Mouathassime,M50-54,T1,1,1.0
Karim Mouathassime,M50-54,Bike,2,26.7
Karim Mouathassime,M50-54,T2,3,1.0
Karim Mouathassime,M50-54,Run,4,9.5
FRANCOIS MARTINEZ,M55-59,Swim,0,2.9
FRANCOIS MARTINEZ,M55-59,T1,1,1.0
FRANCOIS MARTINEZ,M55-59,Bike,2,27.0
FRANCOIS MARTINEZ,M55-59,T2,3,1.0
FRANCOIS MARTINEZ,M55-59,Run,4,9.1
Sandali Tarik,M45-49,Swim,0,2.5
Sandali Tarik,M45-49,T1,1,1.0
Sandali Tarik,M45-49,Bike,2,28.9
Sandali Tarik,M45-49,T2,3,1.0
Sandali Tarik,M45-49,Run,4,10.1
Ilias Lazrak,M30-34,Swim,0,2.4
Ilias Lazrak,M30-34,T1,1,1.0
Ilias Lazrak,M30-34,Bike,2,31.6
Ilias Lazrak,M30-34,T2,3,1.0
Ilias Lazrak,M30-34,Run,4,10.3
Mohammed El Amrani,M35-39,Swim,0,2.1
Mohammed El Amrani,M35-39,T1,1,1.0
Mohammed El Amrani,M35-39,Bike,2,31.0
Mohammed El Amrani,M35-39,T2,3,1.0
Mohammed El Amrani,M35-39,Run,4,10.9
Reda Belahrach,M25-29,Swim,0,2.7
Reda Belahrach,M25-29,T1,1,1.0
Reda Belahrach,M25-29,Bike,2,28.7
Reda Belahrach,M25-29,T2,3,1.0
Reda Belahrach,M25-29,Run,4,12.4
Matis Marie,M30-34,Swim,0,3.3
Matis Marie,M30-34,T1,1,1.0
Matis Marie,M30-34,Bike,2,31.5
Matis Marie,M30-34,T2,3,1.0
Matis Marie,M30-34,Run,4,9.7
Abdelmounaim elghazi,M35-39,Swim,0,2.5
Abdelmounaim elghazi,M35-39,T1,1,1.0
Abdelmounaim elghazi,M35-39,Bike,2,31.6
Abdelmounaim elghazi,M35-39,T2,3,1.0
Abdelmounaim elghazi,M35-39,Run,4,9.9
Spencer Napolitano,M35-39,Swim,0,3.2
Spencer Napolitano,M35-39,T1,1,1.0
Spencer Napolitano,M35-39,Bike,2,30.7
Spencer Napolitano,M35-39,T2,3,1.0
Spencer Napolitano,M35-39,Run,4,9.9
Thami Iraqi Houssaini,M35-39,Swim,0,3.1
Thami Iraqi Houssaini,M35-39,T1,1,1.0
Thami Iraqi Houssaini,M35-39,Bike,2,28.8
Thami Iraqi Houssaini,M35-39,T2,3,1.0
Thami Iraqi Houssaini,M35-39,Run,4,10.6
Maroua TADILI,F35-39,Swim,0,2.4
Maroua TADILI,F35-39,T1,1,1.0
Maroua TADILI,F35-39,Bike,2,31.5
Maroua TADILI,F35-39,T2,3,1.0
Maroua TADILI,F35-39,Run,4,10.6
David Leach,M45-49,Swim,0,3.0
David Leach,M45-49,T1,1,1.0
David Leach,M45-49,Bike,2,27.5
David Leach,M45-49,T2,3,1.0
David Leach,M45-49,Run,4,9.4
Matt Cariglia,M35-39,Swim,0,3.9
Matt Cariglia,M35-39,T1,1,1.0
Matt Cariglia,M35-39,Bike,2,28.1
Matt Cariglia,M35-39,T2,3,1.0
Matt Cariglia,M35-39,Run,4,10.0
Marouen BEN HAJ YAHIA,M40-44,Swim,0,2.8
Marouen BEN HAJ YAHIA,M40-44,T1,1,1.0
Marouen BEN HAJ YAHIA,M40-44,Bike,2,30.8
Marouen BEN HAJ YAHIA,M40-44,T2,3,1.0
Marouen BEN HAJ YAHIA,M40-44,Run,4,9.2
Maha IBOURK,F50-54,Swim,0,2.5
Maha IBOURK,F50-54,T1,1,1.0
Maha IBOURK,F50-54,Bike,2,27.1
Maha IBOURK,F50-54,T2,3,1.0
Maha IBOURK,F50-54,Run,4,10.3
Bilal AMAR,M30-34,Swim,0,2.7
Bilal AMAR,M30-34,T1,1,1.0
Bilal AMAR,M30-34,Bike,2,27.5
Bilal AMAR,M30-34,T2,3,1.0
Bilal AMAR,M30-34,Run,4,12.1
Amine Benomar,M25-29,Swim,0,3.1
Amine Benomar,M25-29,T1,1,1.0
Amine Benomar,M25-29,Bike,2,30.4
Amine Benomar,M25-29,T2,3,1.0
Amine Benomar,M25-29,Run,4,10.5
LAMIA ALAOUI,F45-49,Swim,0,2.9
LAMIA ALAOUI,F45-49,T1,1,1.0
LAMIA ALAOUI,F45-49,Bike,2,28.9
LAMIA ALAOUI,F45-49,T2,3,1.0
LAMIA ALAOUI,F45-49,Run,4,9.9
issam Malki,M35-39,Swim,0,2.6
issam Malki,M35-39,T1,1,1.0
issam Malki,M35-39,Bike,2,29.2
issam Malki,M35-39,T2,3,1.0
issam Malki,M35-39,Run,4,10.4
Omar Lahlou,M40-44,Swim,0,2.5
Omar Lahlou,M40-44,T1,1,1.0
Omar Lahlou,M40-44,Bike,2,28.8
Omar Lahlou,M40-44,T2,3,1.0
Omar Lahlou,M40-44,Run,4,10.0
Nasser lakrimi,M25-29,Swim,0,2.7
Nasser lakrimi,M25-29,T1,1,1.0
Nasser lakrimi,M25-29,Bike,2,36.1
Nasser lakrimi,M25-29,T2,3,1.0
Nasser lakrimi,M25-29,Run,4,8.8
Laurent Chardaire,M35-39,Swim,0,3.2
Laurent Chardaire,M35-39,T1,1,1.0
Laurent Chardaire,M35-39,Bike,2,27.3
Laurent Chardaire,M35-39,T2,3,1.0
Laurent Chardaire,M35-39,Run,4,10.8
Laerke Mop Rasmussen,F25-29,Swim,0,2.9
Laerke Mop Rasmussen,F25-29,T1,1,1.0
Laerke Mop Rasmussen,F25-29,Bike,2,30.6
Laerke Mop Rasmussen,F25-29,T2,3,1.0
Laerke Mop Rasmussen,F25-29,Run,4,10.4
Abdellah Marrakchi,M40-44,Swim,0,2.9
Abdellah Marrakchi,M40-44,T1,1,1.0
Abdellah Marrakchi,M40-44,Bike,2,30.0
Abdellah Marrakchi,M40-44,T2,3,1.0
Abdellah Marrakchi,M40-44,Run,4,9.0
Ayoub BELFARAANE,M30-34,Swim,0,2.8
Ayoub BELFARAANE,M30-34,T1,1,1.0
Ayoub BELFARAANE,M30-34,Bike,2,26.8
Ayoub BELFARAANE,M30-34,T2,3,1.0
Ayoub BELFARAANE,M30-34,Run,4,12.3
ANAS EL HANCHI,M35-39,Swim,0,3.3
ANAS EL HANCHI,M35-39,T1,1,1.0
ANAS EL HANCHI,M35-39,Bike,2,31.2
ANAS EL HANCHI,M35-39,T2,3,1.0
ANAS EL HANCHI,M35-39,Run,4,8.7
BENLAMLIH Mouhcine,M50-54,Swim,0,2.7
BENLAMLIH Mouhcine,M50-54,T1,1,1.0
BENLAMLIH Mouhcine,M50-54,Bike,2,28.4
BENLAMLIH Mouhcine,M50-54,T2,3,1.0
BENLAMLIH Mouhcine,M50-54,Run,4,8.4
ZAKARIA EL HAMDAOUI,M40-44,Swim,0,2.8
ZAKARIA EL HAMDAOUI,M40-44,T1,1,1.0
ZAKARIA EL HAMDAOUI,M40-44,Bike,2,28.7
ZAKARIA EL HAMDAOUI,M40-44,T2,3,1.0
ZAKARIA EL HAMDAOUI,M40-44,Run,4,9.6
Wei Sui,M45-49,Swim,0,2.6
Wei Sui,M45-49,T1,1,1.0
Wei Sui,M45-49,Bike,2,30.2
Wei Sui,M45-49,T2,3,1.0
Wei Sui,M45-49,Run,4,8.2
Fouzia Moussaoui,F50-54,Swim,0,2.9
Fouzia Moussaoui,F50-54,T1,1,1.0
Fouzia Moussaoui,F50-54,Bike,2,28.5
Fouzia Moussaoui,F50-54,T2,3,1.0
Fouzia Moussaoui,F50-54,Run,4,8.6
Fraser Koefman,M25-29,Swim,0,3.2
Fraser Koefman,M25-29,T1,1,1.0
Fraser Koefman,M25-29,Bike,2,31.3
Fraser Koefman,M25-29,T2,3,1.0
Fraser Koefman,M25-29,Run,4,9.6
Matthew Pearce,M45-49,Swim,0,2.3
Matthew Pearce,M45-49,T1,1,1.0
Matthew Pearce,M45-49,Bike,2,30.1
Matthew Pearce,M45-49,T2,3,1.0
Matthew Pearce,M45-49,Run,4,8.6
Kamal Filali Dahni,M45-49,Swim,0,2.5
Kamal Filali Dahni,M45-49,T1,1,1.0
Kamal Filali Dahni,M45-49,Bike,2,25.5
Kamal Filali Dahni,M45-49,T2,3,1.0
Kamal Filali Dahni,M45-49,Run,4,10.8
Zineb Tabahate,F35-39,Swim,0,2.4
Zineb Tabahate,F35-39,T1,1,1.0
Zineb Tabahate,F35-39,Bike,2,29.4
Zineb Tabahate,F35-39,T2,3,1.0
Zineb Tabahate,F35-39,Run,4,10.5
Hajar Bakkouch,F30-34,Swim,0,2.4
Hajar Bakkouch,F30-34,T1,1,1.0
Hajar Bakkouch,F30-34,Bike,2,28.8
Hajar Bakkouch,F30-34,T2,3,1.0
Hajar Bakkouch,F30-34,Run,4,11.1
Soufiane Ettanji,M25-29,Swim,0,3.2
Soufiane Ettanji,M25-29,T1,1,1.0
Soufiane Ettanji,M25-29,Bike,2,27.8
Soufiane Ettanji,M25-29,T2,3,1.0
Soufiane Ettanji,M25-29,Run,4,11.2
SALAHEDDINE OUAARAB,M35-39,Swim,0,2.8
SALAHEDDINE OUAARAB,M35-39,T1,1,1.0
SALAHEDDINE OUAARAB,M35-39,Bike,2,28.9
SALAHEDDINE OUAARAB,M35-39,T2,3,1.0
SALAHEDDINE OUAARAB,M35-39,Run,4,9.6
Karim Alikkane,M40-44,Swim,0,2.3
Karim Alikkane,M40-44,T1,1,1.0
Karim Alikkane,M40-44,Bike,2,29.0
Karim Alikkane,M40-44,T2,3,1.0
Karim Alikkane,M40-44,Run,4,9.7
Ali Abakhti-Mchachti,M55-59,Swim,0,3.2
Ali Abakhti-Mchachti,M55-59,T1,1,1.0
Ali Abakhti-Mchachti,M55-59,Bike,2,30.1
Ali Abakhti-Mchachti,M55-59,T2,3,1.0
Ali Abakhti-Mchachti,M55-59,Run,4,6.7
Romain Sabbagh,M25-29,Swim,0,2.8
Romain Sabbagh,M25-29,T1,1,1.0
Romain Sabbagh,M25-29,Bike,2,28.8
Romain Sabbagh,M25-29,T2,3,1.0
Romain Sabbagh,M25-29,Run,4,10.6
Anouk Biolley,F18-24,Swim,0,3.2
Anouk Biolley,F18-24,T1,1,1.0
Anouk Biolley,F18-24,Bike,2,29.5
Anouk Biolley,F18-24,T2,3,1.0
Anouk Biolley,F18-24,Run,4,9.5
Simo Said,M50-54,Swim,0,2.6
Simo Said,M50-54,T1,1,1.0
Simo Said,M50-54,Bike,2,26.2
Simo Said,M50-54,T2,3,1.0
Simo Said,M50-54,Run,4,9.0
Merouan BALLOUT,M40-44,Swim,0,2.2
Merouan BALLOUT,M40-44,T1,1,1.0
Merouan BALLOUT,M40-44,Bike,2,27.7
Merouan BALLOUT,M40-44,T2,3,1.0
Merouan BALLOUT,M40-44,Run,4,10.3
radia bennouna,F25-29,Swim,0,3.3
radia bennouna,F25-29,T1,1,1.0
radia bennouna,F25-29,Bike,2,28.9
radia bennouna,F25-29,T2,3,1.0
radia bennouna,F25-29,Run,4,10.2
Jesper Van Bondt,M18-24,Swim,0,2.5
Jesper Van Bondt,M18-24,T1,1,1.0
Jesper Van Bondt,M18-24,Bike,2,30.1
Jesper Van Bondt,M18-24,T2,3,1.0
Jesper Van Bondt,M18-24,Run,4,10.9
Rohan Chopra,M18-24,Swim,0,3.2
Rohan Chopra,M18-24,T1,1,1.0
Rohan Chopra,M18-24,Bike,2,27.8
Rohan Chopra,M18-24,T2,3,1.0
Rohan Chopra,M18-24,Run,4,11.0
Mohamed Wadii El Asri,M50-54,Swim,0,2.9
Mohamed Wadii El Asri,M50-54,T1,1,1.0
Mohamed Wadii El Asri,M50-54,Bike,2,30.6
Mohamed Wadii El Asri,M50-54,T2,3,1.0
Mohamed Wadii El Asri,M50-54,Run,4,7.1
Jad Saadani,M25-29,Swim,0,2.9
Jad Saadani,M25-29,T1,1,1.0
Jad Saadani,M25-29,Bike,2,30.1
Jad Saadani,M25-29,T2,3,1.0
Jad Saadani,M25-29,Run,4,9.9
Bella Turner,F25-29,Swim,0,3.3
Bella Turner,F25-29,T1,1,1.0
Bella Turner,F25-29,Bike,2,29.6
Bella Turner,F25-29,T2,3,1.0
Bella Turner,F25-29,Run,4,10.7
Ossama Khaoua,M45-49,Swim,0,2.8
Ossama Khaoua,M45-49,T1,1,1.0
Ossama Khaoua,M45-49,Bike,2,28.8
Ossama Khaoua,M45-49,T2,3,1.0
Ossama Khaoua,M45-49,Run,4,8.2
MEHDI BENNIS,M45-49,Swim,0,3.1
MEHDI BENNIS,M45-49,T1,1,1.0
MEHDI BENNIS,M45-49,Bike,2,26.6
MEHDI BENNIS,M45-49,T2,3,1.0
MEHDI BENNIS,M45-49,Run,4,8.6
Hind Alaoui,F45-49,Swim,0,2.9
Hind Alaoui,F45-49,T1,1,1.0
Hind Alaoui,F45-49,Bike,2,25.6
Hind Alaoui,F45-49,T2,3,1.0
Hind Alaoui,F45-49,Run,4,9.7
Ismael Bouayad,M30-34,Swim,0,2.6
Ismael Bouayad,M30-34,T1,1,1.0
Ismael Bouayad,M30-34,Bike,2,28.0
Ismael Bouayad,M30-34,T2,3,1.0
Ismael Bouayad,M30-34,Run,4,9.9
Francoise Martinez,F55-59,Swim,0,3.0
Francoise Martinez,F55-59,T1,1,1.0
Francoise Martinez,F55-59,Bike,2,25.2
Francoise Martinez,F55-59,T2,3,1.0
Francoise Martinez,F55-59,Run,4,8.5
Valters Finartijs,M25-29,Swim,0,3.4
Valters Finartijs,M25-29,T1,1,1.0
Valters Finartijs,M25-29,Bike,2,30.3
Valters Finartijs,M25-29,T2,3,1.0
Valters Finartijs,M25-29,Run,4,9.1
Michaël Scofield,M30-34,Swim,0,2.7
Michaël Scofield,M30-34,T1,1,1.0
Michaël Scofield,M30-34,Bike,2,27.8
Michaël Scofield,M30-34,T2,3,1.0
Michaël Scofield,M30-34,Run,4,10.3
WALID-SAMY EL MESSAOUDI,M25-29,Swim,0,2.9
WALID-SAMY EL MESSAOUDI,M25-29,T1,1,1.0
WALID-SAMY EL MESSAOUDI,M25-29,Bike,2,27.6
WALID-SAMY EL MESSAOUDI,M25-29,T2,3,1.0
WALID-SAMY EL MESSAOUDI,M25-29,Run,4,10.8
Rokas Judickas,M18-24,Swim,0,2.7
Rokas Judickas,M18-24,T1,1,1.0
Rokas Judickas,M18-24,Bike,2,28.5
Rokas Judickas,M18-24,T2,3,1.0
Rokas Judickas,M18-24,Run,4,10.6
Benjamin Boje,M40-44,Swim,0,2.5
Benjamin Boje,M40-44,T1,1,1.0
Benjamin Boje,M40-44,Bike,2,29.9
Benjamin Boje,M40-44,T2,3,1.0
Benjamin Boje,M40-44,Run,4,8.3
Amine El Kassy,M45-49,Swim,0,2.5
Amine El Kassy,M45-49,T1,1,1.0
Amine El Kassy,M45-49,Bike,2,27.3
Amine El Kassy,M45-49,T2,3,1.0
Amine El Kassy,M45-49,Run,4,8.9
Younes Lidary,M35-39,Swim,0,3.4
Younes Lidary,M35-39,T1,1,1.0
Younes Lidary,M35-39,Bike,2,28.0
Younes Lidary,M35-39,T2,3,1.0
Younes Lidary,M35-39,Run,4,8.8
Mohammed SALIHOUN,M35-39,Swim,0,2.2
