metric,period_2025,period_2026
Race-day CTL,13.3,31.5
Best long-run pace (min/km),6.84,5.63
Swim sessions,0 (recorded),5 (+~1mo unrecorded)
Longest run (km),20.1,22.0
IT-band status,Injured,Healed
