discipline,baseline_s,scenario_s,saved_s
swim,2763,2486.7000000000003,276.2999999999997
t1,434,344.0,90.0
bike,13291,12286.363636363638,1004.6363636363621
t2,170,170.0,0.0
run,10011,9381.0,630.0
