Date,Session,Distance_m,Duration_min
2026-01-13 08:52:17,Brick swim,0.0,15.0
2026-02-10 16:47:30,Afternoon Swim,0.0,60.0
2026-02-14 15:46:42,Afternoon Swim,0.0,45.0
2026-02-24 17:43:48,Afternoon Swim,0.0,20.0
2026-04-23 06:46:32,Brick swim,450.0,30.0
